Application_ID,Age,Education,Employment_Type,Marital_Status,Dependents,Property_Area,Experience_Years,Monthly_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Existing_Loan,EMI,Savings,Debt_to_Income_Ratio,Loan_Approved
APP-00071,30,Master,Self-employed,Single,1,Semiurban,8,264164,773,226108,12,Yes,21300,1717692,0.081,1
APP-00072,47,Intermediate,Business,Married,3,Urban,19,204822,581,494030,48,No,11767,886906,0.057,1
APP-00073,46,Intermediate,Salaried,Married,1,Semiurban,20,204725,672,295716,24,No,15807,900695,0.077,1
APP-00074,48,Intermediate,Self-employed,Married,2,Urban,20,244959,595,2167801,84,Yes,32634,504592,0.133,0
APP-00075,60,Intermediate,Business,Single,0,Urban,32,326852,737,2210376,48,No,50891,1908739,0.156,1
APP-00076,46,Master,Salaried,Married,4,Semiurban,22,237677,654,2176696,72,No,35965,393152,0.151,1
APP-00077,63,Bachelor,Salaried,Married,4,Urban,36,263859,664,1138896,84,No,15536,1584623,0.059,1
APP-00078,50,Master,Business,Single,1,Rural,22,321240,639,1763261,72,No,30956,2327330,0.096,1
APP-00079,21,Matric,Salaried,Married,2,Semiurban,0,172717,798,1334816,84,No,18330,1333062,0.106,1
APP-00080,52,Bachelor,Self-employed,Single,4,Semiurban,29,151323,640,2702967,48,No,63246,597518,0.418,1
APP-00081,28,Master,Self-employed,Married,2,Semiurban,1,106792,723,2022135,24,No,104384,909885,0.977,1
APP-00082,36,Bachelor,Salaried,Single,4,Semiurban,11,199031,617,2451878,84,No,36249,718754,0.182,1
APP-00083,39,Bachelor,Salaried,Married,4,Semiurban,14,196461,533,2037878,24,Yes,92343,388387,0.47,0
APP-00084,57,Intermediate,Self-employed,Single,0,Urban,30,220443,658,643351,72,Yes,11587,1566182,0.053,1
APP-00085,37,Intermediate,Salaried,Single,4,Semiurban,10,98607,664,216739,12,Yes,20032,790316,0.203,1
APP-00086,54,Bachelor,Business,Married,1,Semiurban,26,322599,713,2106032,84,No,29312,1704693,0.091,1
APP-00087,32,Bachelor,Salaried,Married,0,Urban,4,99113,787,672212,48,No,15665,462268,0.158,1
APP-00088,46,PhD,Salaried,Married,2,Semiurban,20,262295,675,1370896,60,No,28302,238071,0.108,1
APP-00089,54,Bachelor,Salaried,Married,2,Urban,26,114765,675,1609090,72,No,28273,939616,0.246,1
APP-00090,63,Bachelor,Salaried,Married,2,Urban,40,231396,696,1203913,60,No,23699,1082930,0.102,1
APP-00091,57,Master,Self-employed,Married,3,Urban,32,188297,759,280553,48,Yes,7200,1318144,0.038,1
APP-00092,36,Bachelor,Salaried,Single,1,Urban,7,206537,680,817912,36,Yes,27769,1316170,0.134,1
APP-00093,61,Master,Salaried,Married,0,Urban,35,149641,673,2029465,84,Yes,27756,674180,0.185,1
APP-00094,28,Matric,Self-employed,Married,2,Urban,5,71917,610,166150,72,Yes,2511,347054,0.035,0
APP-00095,64,PhD,Salaried,Single,4,Urban,39,269412,776,2343541,84,Yes,32087,1021727,0.119,1
APP-00096,62,Intermediate,Salaried,Married,4,Semiurban,37,202782,754,640659,24,No,29139,716544,0.144,1
APP-00097,64,Intermediate,Salaried,Married,0,Rural,42,177823,660,350195,72,Yes,6042,42733,0.034,1
APP-00098,23,Master,Unemployed,Single,0,Urban,0,51165,629,1370464,36,No,48738,253662,0.953,0
APP-00099,35,Master,Salaried,Married,4,Urban,13,135595,673,1860574,60,No,39935,509722,0.295,1
APP-00100,54,Bachelor,Salaried,Married,2,Rural,32,251839,693,402186,60,No,7499,1036553,0.03,1
APP-00101,26,Master,Self-employed,Single,0,Semiurban,0,131262,703,2108954,72,No,34187,954189,0.26,1
APP-00102,44,Bachelor,Salaried,Married,2,Rural,20,150253,850,2962689,12,No,291487,252615,1.94,1
APP-00103,48,Bachelor,Business,Married,3,Urban,22,117249,696,426916,24,No,22088,615409,0.188,1
APP-00104,35,PhD,Salaried,Married,4,Semiurban,8,238748,632,225991,48,No,5999,1960013,0.025,1
APP-00105,23,Master,Self-employed,Single,2,Urban,0,164616,742,590042,12,Yes,62485,115228,0.38,1
APP-00106,45,Bachelor,Business,Married,1,Semiurban,19,232022,674,2239686,36,Yes,69390,422003,0.299,1
APP-00107,34,Master,Salaried,Single,2,Semiurban,8,162161,567,1474572,36,Yes,51264,212053,0.316,0
APP-00108,50,Bachelor,Business,Married,2,Semiurban,22,101597,697,1756671,24,Yes,91463,148563,0.9,0
APP-00109,37,Master,Salaried,Married,2,Semiurban,12,91185,681,842406,72,No,12805,542101,0.14,1
APP-00110,31,Bachelor,Salaried,Single,1,Urban,8,83609,657,1486652,24,Yes,70965,454191,0.849,1
APP-00111,34,Bachelor,Salaried,Married,0,Urban,9,90965,493,1947865,72,No,34539,713650,0.38,1
APP-00112,45,Bachelor,Salaried,Single,2,Urban,16,97497,546,2574968,72,Yes,45458,411927,0.466,0
APP-00113,27,Matric,Self-employed,Married,3,Urban,3,79953,636,1196413,24,No,55125,562829,0.689,0
APP-00114,40,Intermediate,Self-employed,Married,2,Semiurban,15,129780,660,1984276,12,No,200057,616791,1.542,0
APP-00115,33,Intermediate,Salaried,Single,2,Semiurban,11,136924,736,2248347,24,Yes,117248,302231,0.856,0
APP-00116,42,PhD,Self-employed,Married,0,Urban,18,235854,566,436585,84,No,6500,1253131,0.028,1
APP-00117,22,Matric,Salaried,Single,1,Semiurban,0,147755,666,150861,36,Yes,5164,661406,0.035,1
APP-00118,62,Matric,Unemployed,Married,2,Rural,34,82035,618,464359,48,No,11967,416845,0.146,0
APP-00119,27,Bachelor,Self-employed,Single,2,Rural,3,64116,826,252360,36,Yes,7823,571165,0.122,1
APP-00120,38,Intermediate,Self-employed,Married,4,Semiurban,11,171455,562,694604,60,Yes,12966,644486,0.076,0
APP-00121,52,Bachelor,Salaried,Married,3,Rural,28,198105,598,1951317,48,Yes,44178,1550448,0.223,1
APP-00122,50,Bachelor,Self-employed,Married,0,Rural,24,210900,796,401207,24,No,20052,1401538,0.095,1
APP-00123,56,Intermediate,Salaried,Single,3,Semiurban,33,143708,511,2477074,24,Yes,117913,1145228,0.821,0
APP-00124,23,Bachelor,Self-employed,Single,1,Urban,0,134878,609,1357949,72,Yes,21114,1034939,0.157,1
APP-00125,57,Master,Salaried,Single,0,Urban,31,232512,749,2298611,84,No,33123,1890901,0.142,1
APP-00126,45,Bachelor,Unemployed,Married,1,Semiurban,23,66070,421,2754837,72,Yes,42751,212332,0.647,0
APP-00127,32,Intermediate,Salaried,Single,4,Semiurban,5,186908,623,2413336,60,No,48798,1241534,0.261,0
APP-00128,32,Bachelor,Salaried,Single,1,Semiurban,6,70577,664,2640476,72,No,39882,528477,0.565,1
APP-00129,29,Intermediate,Self-employed,Married,4,Semiurban,1,116142,656,2493293,48,No,63963,706595,0.551,0
APP-00130,44,Bachelor,Salaried,Single,4,Semiurban,20,222105,550,179141,84,No,2368,819343,0.011,1
APP-00131,36,PhD,Unemployed,Married,1,Urban,13,109117,639,2059406,12,No,192034,58320,1.76,0
APP-00132,63,Intermediate,Self-employed,Married,0,Urban,40,136207,615,2627576,60,No,53939,1057328,0.396,1
APP-00133,39,Master,Unemployed,Married,4,Urban,11,77047,582,1648229,36,No,52651,645567,0.683,0
APP-00134,29,Master,Salaried,Married,0,Urban,3,186498,732,256498,48,No,6792,800144,0.036,1
APP-00135,41,Bachelor,Salaried,Single,1,Urban,13,176645,850,980112,84,No,13742,89973,0.078,1
APP-00136,31,Bachelor,Unemployed,Married,0,Semiurban,7,52395,556,847419,48,Yes,19166,273321,0.366,0
APP-00137,32,Bachelor,Self-employed,Married,2,Urban,6,205366,476,2186213,12,Yes,226694,692347,1.104,0
APP-00138,63,Bachelor,Unemployed,Married,4,Semiurban,37,107445,580,2967340,12,Yes,286189,450097,2.664,0
APP-00139,24,Bachelor,Business,Married,2,Urban,0,191999,800,2089251,12,No,219562,96365,1.144,1
APP-00140,27,Matric,Unemployed,Married,0,Semiurban,0,26371,592,255683,12,No,25001,22149,0.948,0
APP-00141,64,Intermediate,Unemployed,Single,0,Semiurban,35,100835,795,661672,48,No,16848,610441,0.167,1
APP-00142,62,PhD,Salaried,Married,3,Urban,33,237520,756,2495337,60,No,52322,244386,0.22,1
APP-00143,30,Master,Business,Single,2,Semiurban,8,346690,645,963663,48,Yes,23061,2796267,0.067,1
APP-00144,30,Master,Salaried,Single,0,Semiurban,8,85917,581,2098197,84,No,29426,661176,0.342,1
APP-00145,31,PhD,Salaried,Single,3,Semiurban,3,132526,664,1160899,36,Yes,35434,645232,0.267,1
APP-00146,23,Master,Salaried,Married,1,Rural,1,139368,691,2658379,72,Yes,41774,659991,0.3,1
APP-00147,23,Bachelor,Business,Married,4,Urban,0,299189,831,2512659,48,No,57227,2561331,0.191,1
APP-00148,33,Master,Salaried,Married,3,Rural,7,145959,517,2322134,24,No,120591,318623,0.826,0
APP-00149,28,Matric,Self-employed,Married,1,Rural,3,131981,723,2215904,84,No,33376,678755,0.253,1
APP-00150,28,Matric,Business,Single,4,Urban,0,126559,710,218413,84,No,2875,225400,0.023,1
APP-00151,22,Intermediate,Salaried,Married,2,Urban,0,172992,569,1344625,72,No,22288,624805,0.129,0
APP-00152,35,Matric,Salaried,Married,2,Semiurban,8,108745,612,291703,36,No,9700,83861,0.089,1
APP-00153,36,Master,Salaried,Married,0,Semiurban,8,159238,636,204211,24,No,10262,497689,0.064,1
APP-00154,22,Master,Unemployed,Married,4,Urban,0,58286,562,2887810,12,No,281009,60200,4.821,0
APP-00155,54,Master,Salaried,Single,3,Urban,25,137247,693,2422523,12,Yes,231875,1223261,1.689,0
APP-00156,38,Master,Salaried,Single,2,Urban,12,158317,808,2196594,60,No,41083,260497,0.259,1
APP-00157,51,Bachelor,Salaried,Single,0,Semiurban,22,147280,589,237478,48,No,6096,1212939,0.041,1
APP-00158,24,Intermediate,Business,Single,4,Semiurban,0,232180,644,2995995,36,No,105406,853441,0.454,0
APP-00159,55,Bachelor,Business,Married,1,Urban,27,343235,677,304366,60,Yes,6128,1344742,0.018,1
APP-00160,59,Bachelor,Salaried,Married,4,Semiurban,33,103128,639,1071248,48,No,26793,145870,0.26,1
APP-00161,46,Bachelor,Salaried,Married,4,Rural,19,210030,492,2085957,12,Yes,202742,729401,0.965,0
APP-00162,61,Bachelor,Self-employed,Married,1,Urban,32,243928,726,2419124,84,No,36330,1448454,0.149,1
APP-00163,28,Intermediate,Self-employed,Married,2,Semiurban,4,199567,615,587510,12,No,60591,1328508,0.304,0
APP-00164,44,Master,Business,Married,2,Semiurban,20,193960,555,301139,24,No,15689,1031318,0.081,1
APP-00165,48,Bachelor,Self-employed,Married,2,Semiurban,24,206573,768,1839080,72,No,29732,529089,0.144,1
APP-00166,56,Bachelor,Salaried,Single,4,Semiurban,29,212158,619,2153607,12,Yes,198323,764444,0.935,0
APP-00167,52,Bachelor,Self-employed,Married,3,Urban,24,177161,715,515384,36,Yes,16645,1243741,0.094,1
APP-00168,45,Bachelor,Salaried,Married,0,Rural,22,232423,697,2490137,36,No,87120,189830,0.375,1
APP-00169,32,Master,Business,Single,2,Rural,10,336141,581,2981738,48,No,71463,1116581,0.213,1
APP-00170,45,Intermediate,Business,Married,3,Semiurban,18,140244,719,2766078,12,Yes,273714,1236134,1.952,0
APP-00171,33,PhD,Business,Married,0,Rural,6,180882,608,1855548,84,No,24312,114555,0.134,1
APP-00172,57,Bachelor,Business,Single,1,Semiurban,29,286930,620,1740920,48,No,43599,2263722,0.152,1
APP-00173,61,Master,Salaried,Married,0,Semiurban,32,232067,699,1526445,36,Yes,52785,1623236,0.227,1
APP-00174,40,Intermediate,Salaried,Married,4,Semiurban,16,175626,829,1870485,60,Yes,37736,113892,0.215,1
APP-00175,30,Matric,Business,Married,3,Urban,3,199667,626,1820023,48,Yes,41819,1475017,0.209,1
APP-00176,24,Matric,Salaried,Married,4,Urban,0,144079,623,996816,24,No,50672,327650,0.352,0
APP-00177,32,Intermediate,Salaried,Married,1,Semiurban,5,60518,552,390998,60,No,8092,86256,0.134,1
APP-00178,48,Master,Salaried,Married,3,Urban,24,126827,808,2227599,48,No,51940,1027541,0.41,1
APP-00179,31,Master,Salaried,Married,2,Urban,3,76282,661,1626322,48,No,43604,93369,0.572,0
APP-00180,46,Master,Salaried,Married,1,Semiurban,22,130188,550,2966757,72,No,50222,170381,0.386,0
APP-00181,55,Bachelor,Salaried,Single,3,Rural,33,176984,720,1735288,48,Yes,46652,484013,0.264,1
APP-00182,62,Intermediate,Self-employed,Married,4,Urban,35,240739,593,1574764,36,Yes,49823,576088,0.207,0
APP-00183,56,Intermediate,Self-employed,Single,2,Semiurban,27,83546,741,2192101,24,No,116726,417505,1.397,1
APP-00184,40,Master,Salaried,Married,4,Semiurban,11,149629,696,1562436,60,Yes,33745,793441,0.226,1
APP-00185,23,Master,Salaried,Single,0,Urban,0,192788,698,1308948,24,Yes,61606,139350,0.32,1
APP-00186,37,Master,Salaried,Single,1,Semiurban,8,218369,697,2509965,60,Yes,49397,1389904,0.226,1
APP-00187,41,Intermediate,Salaried,Married,3,Semiurban,15,81972,449,2603292,72,Yes,45009,268635,0.549,0
APP-00188,30,Bachelor,Salaried,Married,4,Semiurban,6,160144,602,965139,24,No,48026,1261703,0.3,1
APP-00189,35,Matric,Business,Married,3,Semiurban,8,252172,795,1826199,48,No,44972,184023,0.178,1
APP-00190,53,Matric,Unemployed,Married,3,Urban,30,66203,482,2717650,12,No,254334,595289,3.842,0
APP-00191,48,Master,Salaried,Single,3,Semiurban,26,172132,764,2931569,12,Yes,272330,432355,1.582,0
APP-00192,22,Bachelor,Self-employed,Married,2,Urban,0,61116,621,2810527,60,No,54337,289215,0.889,0
APP-00193,57,Bachelor,Self-employed,Single,4,Semiurban,32,279709,703,678688,84,No,9468,1571588,0.034,1
APP-00194,50,Master,Self-employed,Married,1,Urban,24,222301,695,339968,24,No,15390,888483,0.069,1
APP-00195,46,Master,Salaried,Married,4,Urban,19,195211,584,1593934,36,No,54165,422104,0.277,1
APP-00196,44,Bachelor,Salaried,Married,2,Urban,21,101831,611,1239929,84,Yes,16268,559844,0.16,1
APP-00197,54,Bachelor,Business,Single,2,Urban,32,332777,784,2793956,12,No,292751,2541086,0.88,1
APP-00198,55,Bachelor,Salaried,Single,2,Urban,33,237908,632,1840534,72,No,29178,1314766,0.123,1
APP-00199,24,Bachelor,Business,Single,3,Urban,1,296632,714,1565744,36,No,54302,1562226,0.183,1
APP-00200,33,Bachelor,Salaried,Married,2,Urban,5,115660,517,821037,12,No,86907,84567,0.751,0
APP-00201,39,Bachelor,Salaried,Single,2,Urban,12,80069,615,1917189,48,No,45597,525693,0.569,0
APP-00202,23,PhD,Business,Married,4,Semiurban,0,116002,836,2777747,12,No,255730,322229,2.205,1
APP-00203,56,Bachelor,Self-employed,Single,0,Urban,27,270232,509,195028,84,Yes,2659,501450,0.01,1
APP-00204,24,Bachelor,Salaried,Married,1,Semiurban,0,183775,736,2125739,48,Yes,53507,1385807,0.291,1
APP-00205,41,Master,Unemployed,Single,3,Semiurban,13,90600,638,591862,48,No,14484,233563,0.16,1
APP-00206,35,Bachelor,Salaried,Married,3,Semiurban,13,97314,787,2184508,60,No,44444,683590,0.457,1
APP-00207,48,Master,Salaried,Married,0,Urban,23,101609,632,1997832,12,Yes,198347,314214,1.952,0
APP-00208,38,Bachelor,Salaried,Married,2,Urban,16,159107,623,1259608,84,No,17288,471552,0.109,1
APP-00209,60,Bachelor,Salaried,Married,1,Semiurban,33,186291,765,2627786,60,No,55431,1041008,0.298,1
APP-00210,59,Matric,Salaried,Married,0,Urban,33,198417,700,1285111,36,No,39237,1587512,0.198,1
APP-00211,44,Master,Business,Single,0,Urban,18,175176,645,2804716,48,No,75053,718140,0.428,1
APP-00212,60,Intermediate,Salaried,Married,4,Semiurban,35,154983,550,2627751,84,No,39723,657341,0.256,1
APP-00213,43,Bachelor,Salaried,Married,3,Urban,21,123464,579,2195588,48,No,50618,20651,0.41,0
APP-00214,53,Master,Self-employed,Married,0,Semiurban,28,161737,740,1670057,48,Yes,41419,866626,0.256,1
APP-00215,59,Bachelor,Unemployed,Single,0,Rural,34,92478,482,784029,48,No,19554,536570,0.211,1
APP-00216,35,Master,Salaried,Married,3,Urban,12,168364,804,2994100,60,No,61496,1056161,0.365,1
APP-00217,55,Matric,Business,Married,3,Urban,29,172373,536,437913,84,Yes,6054,338821,0.035,0
APP-00218,53,Bachelor,Salaried,Married,2,Rural,24,176009,606,2839401,36,No,96388,798443,0.548,0
APP-00219,63,PhD,Self-employed,Single,4,Urban,35,235893,774,607365,36,Yes,19906,1588608,0.084,1
APP-00220,25,Bachelor,Business,Married,1,Urban,0,271260,514,1621466,84,No,21471,2357252,0.079,1
APP-00221,57,Bachelor,Self-employed,Married,3,Semiurban,34,130908,749,2740240,60,No,50210,860350,0.384,1
APP-00222,37,PhD,Salaried,Married,4,Urban,11,212803,574,150098,48,Yes,3622,674929,0.017,1
APP-00223,41,Bachelor,Salaried,Single,0,Urban,14,84580,605,794780,60,Yes,17202,503671,0.203,1
APP-00224,44,Bachelor,Salaried,Single,4,Urban,21,160687,692,1004850,72,No,15479,1045354,0.096,1
APP-00225,54,Master,Self-employed,Married,2,Semiurban,30,251487,621,690381,60,No,12514,1549600,0.05,1
APP-00226,39,Master,Salaried,Married,2,Semiurban,16,197887,606,1330746,24,Yes,66120,602632,0.334,0
APP-00227,37,Bachelor,Salaried,Single,0,Urban,13,93777,640,225438,84,Yes,2963,804448,0.032,1
APP-00228,53,Master,Self-employed,Single,4,Urban,24,157014,740,2811542,48,No,63506,1216751,0.404,1
APP-00229,42,Bachelor,Self-employed,Single,0,Rural,18,89479,567,1815880,48,No,43177,59847,0.483,0
APP-00230,50,Bachelor,Self-employed,Married,4,Semiurban,22,80567,639,502980,12,Yes,52096,130356,0.647,0
APP-00231,60,Bachelor,Salaried,Single,3,Rural,31,232373,728,2946230,60,No,58299,64189,0.251,1
APP-00232,50,Bachelor,Self-employed,Single,0,Urban,22,227108,824,596762,72,No,10535,473937,0.046,1
APP-00233,54,Bachelor,Self-employed,Married,2,Urban,31,196658,613,2345846,48,No,62772,1373837,0.319,0
APP-00234,49,Bachelor,Salaried,Married,1,Rural,21,126630,615,1572542,72,No,27858,672550,0.22,1
APP-00235,30,Matric,Self-employed,Married,3,Urban,5,39344,516,2074324,36,Yes,72421,56101,1.841,0
APP-00236,33,Intermediate,Unemployed,Married,1,Urban,9,47607,600,976110,24,Yes,44844,330752,0.942,0
APP-00237,49,Intermediate,Business,Married,2,Semiurban,26,135676,720,1059131,72,No,16216,212346,0.12,1
APP-00238,29,Matric,Salaried,Married,1,Urban,5,179733,743,1540434,48,Yes,35290,42441,0.196,1
APP-00239,49,Intermediate,Self-employed,Married,3,Rural,27,128795,614,2295690,72,No,39109,985776,0.304,0
APP-00240,31,Bachelor,Self-employed,Single,3,Urban,9,137345,840,2001860,36,No,60645,813940,0.442,1
APP-00241,61,Master,Salaried,Single,1,Rural,37,175017,628,2199409,84,No,31458,1170291,0.18,1
APP-00242,36,Master,Salaried,Married,3,Rural,14,215503,775,972328,48,No,22486,1180694,0.104,1
APP-00243,38,Master,Self-employed,Married,0,Urban,14,104617,666,1389467,24,No,63073,519452,0.603,1
APP-00244,30,Intermediate,Salaried,Married,2,Rural,4,77840,576,1839957,60,No,34918,22828,0.449,0
APP-00245,45,Master,Self-employed,Single,4,Urban,20,259296,759,2929915,24,Yes,158059,697605,0.61,1
APP-00246,62,Master,Salaried,Married,3,Rural,38,258763,523,1742425,24,No,81975,1119816,0.317,0
APP-00247,36,Master,Unemployed,Married,2,Urban,7,72632,632,2438005,36,Yes,75409,186743,1.038,0
APP-00248,49,PhD,Salaried,Single,4,Rural,27,237525,670,862371,84,No,13250,1476760,0.056,1
