area_sqft,bedrooms,bathrooms,location,house_age,price
3571,5,6,Rawalpindi,22,21010000
3366,4,3,Lahore,30,18763000
1129,4,4,Faisalabad,12,9207000
4248,4,4,Lahore,26,22267000
1399,5,5,Lahore,6,12797000
4122,5,6,Faisalabad,24,21552000
533,1,1,Faisalabad,17,3453000
4086,5,4,Lahore,23,21890000
4041,4,3,Karachi,23,21850000
4012,2,1,Rawalpindi,16,19174000
3492,4,5,Faisalabad,7,19982000
2622,6,6,Karachi,16,19067000
3673,6,5,Islamabad,25,22045000
1747,6,6,Rawalpindi,30,12754000
4014,3,2,Rawalpindi,28,19706000
3000,5,4,Rawalpindi,5,18922000
2565,3,2,Islamabad,18,16655000
2775,5,4,Lahore,3,17450000
3059,4,4,Faisalabad,20,16027000
667,2,3,Faisalabad,30,4921000
1129,2,2,Rawalpindi,1,9841000
1604,1,2,Lahore,20,8448000
1015,1,1,Lahore,29,6708000
2478,3,2,Rawalpindi,26,14311000
3508,3,2,Lahore,12,19244000
3445,1,1,Faisalabad,3,17767000
2620,3,2,Karachi,28,14737000
4348,4,5,Rawalpindi,28,22524000
3044,2,3,Faisalabad,17,14741000
856,3,4,Karachi,30,6721000
3943,3,3,Karachi,0,23623000
3086,4,4,Islamabad,19,19191000
3356,3,3,Islamabad,1,21179000
3044,5,5,Karachi,29,17804000
2991,2,3,Islamabad,21,17176000
907,3,4,Faisalabad,28,6686000
3016,3,4,Karachi,17,17753000
4077,2,2,Lahore,2,22229000
1868,5,4,Karachi,0,15790000
3213,2,3,Karachi,10,19003000
638,2,2,Lahore,23,6225000
2064,5,6,Lahore,4,16964000
2465,6,6,Rawalpindi,26,15339000
4923,5,6,Karachi,7,28401000
1465,6,6,Faisalabad,15,12739000
1744,6,6,Lahore,6,15727000
2338,3,4,Lahore,14,13965000
4967,5,4,Rawalpindi,14,26128000
4341,2,2,Faisalabad,0,23015000
656,3,3,Karachi,17,8345000
1552,4,5,Lahore,24,11765000
4198,6,6,Lahore,29,23460000
762,6,6,Islamabad,10,11951000
4351,3,3,Karachi,27,23022000
1766,4,4,Karachi,27,12563000
4630,2,2,Lahore,30,22318000
1821,5,6,Karachi,11,15179000
2454,4,3,Faisalabad,26,13146000
3479,4,4,Islamabad,17,21968000
1068,5,4,Karachi,1,13960000
3007,4,5,Lahore,8,17714000
2773,1,1,Karachi,20,15407000
4028,2,2,Karachi,4,21843000
4983,2,2,Rawalpindi,13,24894000
3490,5,5,Faisalabad,24,19158000
2341,1,2,Faisalabad,4,13497000
2329,2,2,Faisalabad,15,13396000
2381,4,4,Faisalabad,6,15105000
4163,5,4,Faisalabad,16,22950000
1945,4,3,Lahore,7,12355000
1251,6,6,Lahore,29,12258000
2004,6,6,Karachi,2,17221000
602,1,2,Islamabad,29,7449000
977,6,6,Lahore,24,9630000
905,4,4,Rawalpindi,26,7441000
3972,4,4,Islamabad,26,23157000
3751,1,1,Islamabad,5,21343000
3636,4,3,Lahore,28,19695000
2578,5,5,Karachi,18,18223000
3727,4,3,Lahore,29,18676000
1225,1,1,Faisalabad,27,7038000
4553,4,3,Islamabad,17,25838000
2755,6,5,Rawalpindi,11,17869000
4722,5,5,Karachi,3,26616000
1185,1,2,Karachi,3,10344000
2738,6,6,Karachi,12,17790000
3634,6,6,Rawalpindi,25,21434000
2730,2,2,Rawalpindi,15,13946000
2508,5,4,Lahore,14,16538000
1248,3,2,Faisalabad,7,9024000
2214,4,4,Lahore,17,15369000
1574,3,3,Faisalabad,19,9815000
1857,5,4,Lahore,30,12198000
3577,6,6,Karachi,22,21854000
3336,5,4,Rawalpindi,18,20029000
3232,6,5,Lahore,28,19663000
2128,6,6,Karachi,13,16477000
4819,1,1,Karachi,28,23076000
894,2,2,Lahore,11,6966000
2042,5,6,Rawalpindi,3,15669000
1031,4,5,Faisalabad,12,8046000
2025,1,2,Faisalabad,3,12234000
4829,1,1,Karachi,3,25105000
2148,4,5,Islamabad,27,17183000
4589,4,4,Lahore,24,23379000
2728,2,3,Lahore,6,16271000
3649,2,3,Lahore,25,20045000
2558,1,1,Faisalabad,2,14528000
1696,4,5,Faisalabad,8,11811000
3939,1,1,Rawalpindi,21,18969000
4862,4,5,Islamabad,9,28292000
1686,3,2,Karachi,22,11874000
4005,3,4,Islamabad,27,22227000
1675,5,5,Islamabad,2,15787000
3726,4,5,Karachi,0,22110000
4051,5,5,Lahore,29,22322000
2522,5,6,Lahore,16,17315000
3816,6,5,Faisalabad,15,21429000
1725,5,4,Karachi,14,12865000
856,4,4,Faisalabad,13,8728000
933,3,4,Lahore,21,8736000
2512,2,3,Islamabad,17,15888000
4562,4,4,Lahore,5,25128000
1074,1,1,Karachi,19,7155000
2551,6,6,Lahore,20,16648000
3668,6,6,Lahore,3,22846000
1410,1,1,Faisalabad,11,9100000
3747,5,5,Karachi,24,21592000
1877,1,2,Islamabad,19,13220000
4139,5,4,Karachi,4,24404000
3107,1,2,Karachi,1,18391000
2961,3,2,Islamabad,18,18234000
1295,4,3,Lahore,14,11226000
2584,5,6,Faisalabad,29,14925000
4355,3,4,Rawalpindi,16,21699000
587,6,6,Rawalpindi,28,7107000
3914,5,6,Karachi,6,23923000
2717,2,2,Lahore,13,14690000
3738,5,5,Faisalabad,4,21836000
3485,5,4,Karachi,17,20794000
2444,3,2,Lahore,5,16908000
1889,5,4,Karachi,15,13404000
3323,6,5,Rawalpindi,10,20589000
1131,5,5,Islamabad,5,12617000
3129,5,6,Rawalpindi,3,19661000
926,4,5,Rawalpindi,15,9231000
3424,2,2,Lahore,29,15839000
3329,5,6,Faisalabad,6,20166000
880,3,4,Karachi,12,10843000
3909,4,5,Islamabad,6,24203000
2371,2,2,Lahore,25,13377000
4041,2,1,Faisalabad,12,20398000
687,1,2,Karachi,30,5929000
1307,6,5,Lahore,7,12322000
2723,1,1,Karachi,2,14767000
1347,1,1,Lahore,18,9064000
1984,6,6,Lahore,20,14859000
3473,4,4,Islamabad,30,20028000
1150,3,2,Karachi,27,9172000
3550,5,4,Faisalabad,27,18491000
965,3,3,Karachi,19,8830000
1288,1,1,Rawalpindi,11,8784000
3144,5,6,Karachi,13,19675000
4071,2,1,Islamabad,4,23899000
1267,4,5,Islamabad,13,12003000
1850,6,6,Karachi,11,15269000
4663,6,6,Faisalabad,1,27665000
4954,3,2,Karachi,6,27270000
3115,5,4,Lahore,16,18976000
2512,4,3,Islamabad,11,17069000
2061,3,3,Rawalpindi,30,11462000
3256,1,2,Lahore,14,17293000
3159,3,2,Karachi,29,17412000
1826,4,4,Faisalabad,20,11610000
602,6,5,Rawalpindi,1,9638000
1181,1,2,Faisalabad,6,7851000
4814,5,6,Islamabad,21,27062000
2382,6,6,Islamabad,16,18249000
2670,6,6,Karachi,9,19879000
2602,3,3,Faisalabad,16,13569000
4023,1,2,Karachi,27,20133000
792,2,1,Rawalpindi,12,6154000
872,6,6,Karachi,1,12365000
1741,6,6,Islamabad,9,16130000
2690,4,5,Rawalpindi,29,16528000
3520,1,1,Islamabad,23,19453000
2708,1,2,Faisalabad,25,12221000
2485,3,3,Karachi,28,15363000
4721,4,3,Islamabad,3,27015000
1224,1,2,Karachi,8,9456000
3073,5,4,Karachi,1,20691000
2940,4,3,Karachi,0,18928000
2631,1,1,Lahore,25,14131000
4134,1,1,Lahore,29,19079000
1701,3,4,Islamabad,4,14212000
4792,5,5,Islamabad,22,27110000
1992,5,4,Islamabad,16,15529000
2953,3,4,Lahore,2,19027000
2843,2,2,Karachi,28,16089000
4324,6,5,Lahore,27,25082000
2475,3,4,Rawalpindi,17,16229000
1780,2,2,Faisalabad,21,9236000
597,3,2,Lahore,12,7163000
2136,1,2,Islamabad,24,12777000
4219,2,2,Lahore,13,21304000
544,4,5,Karachi,30,7275000
4533,6,6,Lahore,1,26281000
2943,5,5,Karachi,5,19277000
1131,5,6,Islamabad,30,11806000
1860,4,3,Faisalabad,8,11561000
2993,1,1,Lahore,9,16738000
1920,3,3,Islamabad,24,13237000
988,6,6,Rawalpindi,5,13126000
3497,1,1,Faisalabad,15,16494000
3525,6,6,Islamabad,8,23992000
1035,5,6,Karachi,6,11335000
1765,2,3,Islamabad,29,13492000
1597,5,6,Karachi,6,15265000
3468,6,5,Faisalabad,2,21219000
3787,1,2,Karachi,20,18880000
3772,1,1,Rawalpindi,26,17909000
4725,4,4,Lahore,3,25406000
3959,6,6,Karachi,21,24808000
1943,1,1,Faisalabad,16,10717000
984,4,3,Islamabad,25,10345000
3266,1,1,Karachi,3,16874000
4622,4,5,Faisalabad,30,22373000
4889,4,5,Faisalabad,19,25351000
1536,1,1,Karachi,26,10370000
1564,5,6,Islamabad,11,15770000
668,6,5,Karachi,29,8141000
1135,6,6,Islamabad,19,13333000
2997,1,1,Karachi,3,17987000
2961,2,2,Lahore,28,14398000
2169,2,3,Faisalabad,24,11625000
1895,3,3,Faisalabad,9,12157000
4234,1,2,Rawalpindi,16,20517000
2570,6,6,Faisalabad,12,15650000
4137,5,6,Rawalpindi,16,23094000
4835,5,5,Rawalpindi,29,24814000
1927,2,1,Rawalpindi,27,10307000
1412,1,2,Karachi,6,10394000
4789,6,6,Karachi,30,26426000
3357,2,2,Lahore,13,18164000
1809,4,3,Islamabad,21,14315000
3298,6,5,Karachi,23,20444000
2818,1,1,Karachi,14,15539000
4575,1,1,Islamabad,14,24245000
1652,1,2,Karachi,14,9960000
4962,1,2,Lahore,26,23880000
4713,1,2,Rawalpindi,11,23074000
1313,5,6,Faisalabad,8,11430000
1240,4,4,Lahore,11,11562000
2899,6,5,Lahore,6,18186000
702,5,5,Karachi,12,8775000
1844,6,6,Rawalpindi,3,15213000
2458,2,3,Rawalpindi,2,14979000
4863,2,1,Lahore,22,23695000
4966,6,6,Rawalpindi,2,27917000
1182,2,2,Lahore,17,9206000
4513,1,1,Karachi,24,22831000
909,5,4,Faisalabad,22,8442000
3869,5,5,Lahore,13,22420000
4306,6,5,Lahore,6,23995000
4509,6,5,Karachi,28,25878000
1505,1,1,Islamabad,25,11315000
4521,5,4,Faisalabad,18,23997000
1022,6,6,Faisalabad,2,10481000
2835,5,4,Lahore,1,19225000
2613,5,4,Lahore,9,17854000
1921,6,6,Rawalpindi,4,16301000
599,3,4,Karachi,26,6876000
3974,1,1,Faisalabad,6,19274000
2010,3,4,Islamabad,8,16118000
3478,2,2,Lahore,30,17545000
2346,1,1,Rawalpindi,25,11127000
2181,1,1,Lahore,6,13260000
4489,5,6,Karachi,11,26710000
925,4,5,Islamabad,15,11392000
3815,4,5,Islamabad,20,23266000
3861,5,6,Rawalpindi,29,21068000
2210,4,4,Islamabad,27,16553000
1681,4,4,Faisalabad,30,9775000
523,1,2,Faisalabad,1,5195000
4716,6,5,Islamabad,7,28724000
4765,3,3,Lahore,17,25144000
1584,1,2,Rawalpindi,1,9660000
643,5,5,Faisalabad,11,7229000
1052,5,4,Karachi,4,10464000
804,1,1,Karachi,28,6388000
4240,2,1,Karachi,1,22411000
4514,1,2,Lahore,4,22979000
1189,2,3,Islamabad,6,12004000
3861,1,1,Karachi,4,20469000
1306,5,5,Rawalpindi,17,11196000
2152,4,5,Rawalpindi,11,14374000
3197,6,6,Rawalpindi,28,19404000
3740,5,4,Karachi,8,23107000
4436,4,4,Karachi,16,24261000
701,4,4,Rawalpindi,20,7435000
1384,1,1,Rawalpindi,19,8911000
1762,1,1,Karachi,24,10926000
1896,4,3,Faisalabad,6,11735000
4992,1,2,Lahore,15,24893000
3999,1,1,Faisalabad,24,17561000
1942,2,1,Lahore,26,11955000
4874,6,5,Lahore,19,27506000
2747,3,2,Islamabad,20,17476000
2753,5,4,Lahore,26,16795000
2452,3,3,Lahore,19,14583000
1147,2,3,Lahore,29,8528000
4705,3,2,Karachi,3,25460000
562,1,1,Rawalpindi,10,5564000
1284,5,4,Lahore,3,12700000
1533,2,2,Islamabad,2,12633000
1757,3,2,Rawalpindi,14,10949000
1093,6,6,Lahore,7,11324000
580,4,4,Lahore,12,7404000
3550,3,4,Faisalabad,13,17762000
4862,4,4,Rawalpindi,19,25565000
1048,5,5,Islamabad,29,12497000
1834,2,3,Rawalpindi,26,11609000
2778,4,4,Lahore,11,16341000
4674,6,6,Karachi,10,28102000
3624,4,5,Rawalpindi,23,20835000
3948,3,3,Karachi,3,22525000
3115,1,2,Rawalpindi,16,16079000
2377,2,1,Islamabad,13,14168000
1399,6,6,Rawalpindi,5,13199000
4390,4,5,Karachi,19,23917000
4119,2,3,Karachi,9,22800000
612,3,2,Lahore,5,6656000
3720,4,5,Lahore,20,21377000
879,4,4,Rawalpindi,5,10008000
3826,5,4,Lahore,20,21110000
4217,2,1,Lahore,5,21322000
1089,4,4,Lahore,13,8762000
2452,3,2,Lahore,25,13825000
1057,6,5,Rawalpindi,7,10771000
3053,1,1,Karachi,23,15154000
4674,1,1,Faisalabad,22,21535000
863,3,2,Lahore,27,6892000
2289,4,5,Islamabad,5,17065000
4880,5,6,Karachi,22,26846000
1854,3,3,Karachi,29,12903000
1095,6,6,Faisalabad,23,10281000
2699,3,3,Faisalabad,5,15551000
2788,1,1,Faisalabad,25,13512000
3483,1,1,Lahore,3,17914000
1912,6,6,Lahore,18,14791000
4801,1,2,Islamabad,15,25460000
2845,6,6,Karachi,16,19224000
1789,2,1,Rawalpindi,16,10877000
4822,1,1,Islamabad,0,25695000
4662,2,1,Islamabad,15,25262000
2746,4,3,Rawalpindi,29,15562000
611,3,2,Rawalpindi,13,4710000
3186,5,5,Lahore,8,20845000
2998,4,3,Lahore,30,14711000
1167,3,4,Islamabad,3,12041000
3353,4,4,Karachi,15,20899000
4284,6,5,Karachi,15,25137000
976,3,3,Karachi,14,8616000
3755,1,2,Rawalpindi,28,17150000
1131,3,2,Rawalpindi,13,9458000
3870,6,5,Islamabad,30,22305000
2386,2,1,Karachi,2,16015000
529,6,6,Karachi,22,9346000
4849,4,3,Islamabad,18,26231000
1247,4,4,Karachi,7,11568000
3182,2,2,Islamabad,7,18913000
1316,6,6,Islamabad,22,14250000
4699,1,1,Lahore,19,23132000
3823,2,3,Lahore,18,18979000
4120,3,4,Lahore,1,23022000
2444,3,3,Faisalabad,18,13094000
2603,3,2,Islamabad,30,16823000
3354,1,2,Lahore,0,17759000
4032,2,1,Faisalabad,14,20597000
4312,1,1,Karachi,15,21989000
580,4,4,Karachi,27,6991000
3486,3,2,Faisalabad,8,17991000
991,4,4,Lahore,14,9161000
1795,4,3,Lahore,22,11370000
4233,5,4,Islamabad,1,26420000
1627,4,3,Lahore,24,10555000
4086,4,3,Islamabad,25,21894000
2583,4,4,Lahore,22,15562000
1547,4,5,Lahore,20,10726000
2004,4,3,Lahore,23,12518000
2888,2,1,Karachi,24,15259000
3943,2,1,Lahore,28,18734000
3227,5,5,Lahore,13,21194000
4700,3,2,Faisalabad,14,23147000
4405,4,4,Karachi,19,24530000
3890,2,1,Karachi,5,20233000
3214,3,2,Lahore,26,16704000
1804,4,4,Karachi,23,13307000
2356,4,4,Karachi,19,15099000
1035,4,4,Islamabad,9,12507000
2184,3,4,Lahore,10,13741000
4670,6,6,Faisalabad,13,25418000
2416,4,5,Faisalabad,20,14066000
